Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Central African republic,2016,19.10,18.90,0.00,0.30,0.00,0.00,0.00,0.00,64.60,150.80,1.00,0.00,149.80,142.30,7.50,0.00,0.00,13.50,30.50,1.90,32.80,14.10,,,,,,,,,,,,
Central African republic,2017,19.10,18.90,0.00,0.30,0.00,0.00,0.00,0.00,66.50,152.80,1.00,0.00,151.80,144.10,7.60,0.00,0.00,14.20,31.50,2.10,32.80,14.30,,,,,,,,,,,,
Central African republic,2018,19.10,18.90,0.00,0.30,0.00,0.00,0.00,0.00,94.80,151.60,2.00,0.00,149.70,141.90,7.80,0.00,0.00,14.70,32.30,2.20,32.00,20.00,,,,,,,,,,,,
Central African republic,2019,19.20,18.90,0.00,0.30,0.00,0.00,0.00,0.00,97.60,153.70,2.00,0.00,151.70,143.70,8.00,0.00,0.00,14.30,32.10,1.50,31.80,20.20,,,,,,,,,,,,
Central African republic,2020,19.20,18.90,0.00,0.30,0.00,0.00,0.00,0.00,100.40,155.80,2.00,0.00,153.70,145.50,8.20,0.00,0.00,NA,NA,NA,31.70,20.40,,,,,,,,,,,,
Comoros,2013,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,29.20,65.60,60.20,0.00,5.40,5.30,0.00,0.00,0.00,69.60,87.40,62.60,88.40,39.40,,,,,,,,,,,,
Comoros,2014,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,29.00,65.00,60.00,0.00,5.00,5.00,0.00,0.00,0.00,72.00,89.20,65.20,85.60,38.10,,,,,,,,,,,,
Comoros,2015,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,30.00,67.60,62.30,0.00,5.30,5.20,0.00,0.00,0.00,74.40,91.00,67.80,86.90,38.60,,,,,,,,,,,,
Comoros,2016,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,31.00,70.40,65.00,0.00,5.50,5.50,0.00,0.00,0.00,76.80,92.80,70.40,88.50,39.00,,,,,,,,,,,,
Comoros,2017,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,33.30,73.50,67.80,0.00,5.70,5.70,0.00,0.00,0.00,79.20,94.60,73.00,90.30,40.90,,,,,,,,,,,,
